2020-01-02,28543.51953125
2020-01-03,28534.793352376146
2020-01-06,28240.41176326511
2020-01-07,28339.44998345819
2020-01-08,28032.455609512122
2020-01-09,28551.909481727598
2020-01-10,28686.285900153274
2020-01-13,29010.862148020824
2020-01-14,28864.128134612034
2020-01-15,28756.452054241297
2020-01-16,28816.471116185254
2020-01-17,29034.54840261125
2020-01-20,28843.273124799394
2020-01-21,27986.820285829435
2020-01-22,28373.875859162574
2020-01-23,28008.52192189865
2020-01-24,27975.482223069
2020-01-29,27225.495375108367
2020-01-30,26471.82821855466
2020-01-31,26305.604776502234
2020-02-03,26425.416871993086
2020-02-04,26707.303695815855
2020-02-05,26784.96973242033
2020-02-06,27471.197909364615
2020-02-07,27410.616581041377
2020-02-10,27262.890166067402
2020-02-11,27609.332688215567
2020-02-12,27789.882414651926
2020-02-13,27722.71324747029
2020-02-14,27792.363039299333
2020-02-17,27937.10504208951
2020-02-18,27520.45900288929
2020-02-19,27638.552094273015
2020-02-20,27633.27499455653
2020-02-21,27325.951162453974
2020-02-24,26784.758166343494
2020-02-25,26897.78048861209
2020-02-26,26697.373171874864
2020-02-27,26776.732019558414
2020-02-28,26118.67364583374
2020-03-02,26274.45743532604
2020-03-03,26280.28434349587
2020-03-04,26132.238325108956
2020-03-05,26782.26139012431
2020-03-06,26141.092476989546
2020-03-09,26170.180116904132
2020-03-10,23914.04713643112
2020-03-11,25732.350042686627
