key_0,open,high,low,close,volume,macd,macdsignal,macdhist,rsi,mom,slowk,slowd
1999-12-31,100.95,101.4,100.54,100.97,3172700,,,,,,,
2000-01-03,101.91,101.91,98.9,99.98,8164300,,,,,,,
2000-01-04,98.67,99.03,95.99,96.07,8089800,,,,,,,
2000-01-05,96.2,97.29,94.35,96.24,12177900,,,,,,,
2000-01-06,95.98,97.27,94.69,94.69,6227200,,,,,,,
2000-01-07,96.46,100.19,96.28,100.19,8066500,,,,,,,
2000-01-10,100.54,100.99,99.7,100.54,5741700,,,,,,,
2000-01-11,100.24,100.43,98.65,99.33,7503700,,,,,,,
2000-01-12,99.4,99.4,98.22,98.35,6907700,,,,,,75.43937655383445,71.8620690876381
2000-01-13,99.31,100.19,98.5,99.68,5158300,,,,,,68.42735820442834,75.2301970099701
2000-01-14,100.73,101.38,100.34,101.03,7437300,,,,,0.060000000000002274,73.06870841539885,72.31181439122055
2000-01-18,99.91,100.8,99.81,100.24,6488500,,,,,0.2599999999999909,75.0116459279566,72.16923751592793
2000-01-19,99.89,101.05,99.68,101.05,6157900,,,,,4.980000000000004,80.80168776371313,76.29401403568953
2000-01-20,101.03,101.03,98.86,99.51,5800100,,,,,3.2700000000000102,62.850152367557506,72.88782868640908
2000-01-21,100.02,100.02,99.03,99.29,6244800,,,,45.94202898550727,4.6000000000000085,47.22996617775118,63.62726876967395
2000-01-24,100.13,100.26,95.83,96.48,7896900,,,,40.08234988976789,-3.7099999999999937,21.528347929210213,43.86948882483964
2000-01-25,96.6,97.57,95.55,97.57,9942500,,,,43.11330315199272,-2.970000000000013,22.08095735681954,30.279757154593653
2000-01-26,96.93,97.3,96.31,96.8,5158100,,,,41.51564036834212,-2.530000000000001,23.996532995022807,22.535279427017528
2000-01-27,97.51,97.77,94.95,96.41,10922700,,,,40.69310753624265,-1.9399999999999977,29.010927869148755,25.029472740330377
2000-01-28,95.85,96.28,93.17,93.41,11916200,,,,34.955868678317145,-6.27000000000001,17.896853415158926,23.634771426443507
2000-01-31,93.36,96.02,92.8,95.94,10768700,,,,42.33911456357764,-5.090000000000003,31.353138571351575,26.086973285219766
2000-02-01,96.07,97.4,95.23,96.89,8419900,,,,44.869679570512794,-3.3499999999999943,49.6192954624787,32.95642914966308
2000-02-02,97.12,97.79,96.5,96.97,6205900,,,,45.08823051863877,-4.079999999999998,76.34665709688997,52.439697043573425
2000-02-03,96.84,98.48,96.24,98.43,7997500,,,,49.057325333263805,-1.0799999999999983,88.32687171794966,71.43094142577279
2000-02-04,98.43,98.99,97.7,98.02,4925400,,,,48.00789317923879,-1.2700000000000102,89.0054721303324,84.55966698172402
2000-02-07,98.0,98.15,97.23,97.87,5845800,,,,47.606647668160015,1.3900000000000006,84.55401602663574,87.29545329163928
