Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE
2018-03-13,179.97,,51.78,116.25,161.32,57.56,55.96,107.24,178.35,14.43
2018-03-14,178.44,,51.86,114.95,160.21,56.63,54.87,105.61,177.41,14.27
2018-03-15,178.65,,50.88,115.24,159.6,56.83,54.85,104.99,178.07,14.36
2018-03-16,178.02,,51.17,115.44,163.88,55.9,55.0,103.46,178.96,14.31
2018-03-19,175.3,,50.83,114.53,159.53,55.48,54.34,101.74,177.1,14.07
2018-03-20,175.24,,51.55,114.64,159.99,54.9,54.43,100.27,178.16,13.64
2018-03-21,171.27,,51.56,114.74,158.05,54.79,54.61,97.75,178.02,13.88
2018-03-22,168.845,,50.83,109.95,151.58,52.53,52.02,97.67,175.29,13.35
2018-03-23,164.94,,49.36,107.01,148.0,50.98,50.73,95.63,171.8,13.07
2018-03-26,172.77,,52.48,110.31,153.34,52.29,52.14,96.35,176.38,12.89
2018-03-27,168.34,,51.19,108.17,152.16,51.1,50.72,96.73,174.68,13.44
