Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE,Portfolio Value
2017-03-07,1395.2,1890.9,358.0,914.0999999999999,1102.3999999999999,583.0,476.70000000000005,1105.5,1460.2,298.6,9584.600000000002
2017-03-08,1390.0,1895.1,356.2,912.0999999999999,1104.7,582.1,481.9,1097.2,1469.1999999999998,298.0,9586.5
2017-03-09,1386.8000000000002,1899.0,358.2,915.6999999999999,1095.8,587.0,479.3,1102.8,1466.2,296.6,9587.4
2017-03-10,1391.3999999999999,1912.1000000000001,359.09999999999997,912.8,1099.2,588.5,481.70000000000005,1105.4,1468.5,302.8,9621.5
2017-03-13,1392.0,1915.2,351.59999999999997,913.6,1098.8,587.0,483.5,1110.2,1474.3000000000002,298.6,9624.800000000001
2017-03-14,1389.9,1903.3000000000002,351.8,915.1,1092.1,587.6,482.59999999999997,1107.7,1471.6,295.4,9597.1
2017-03-15,1404.6000000000001,1912.0,351.0,917.3000000000001,1107.9,587.1,483.29999999999995,1124.2,1479.5,297.6,9664.500000000002
2017-03-16,1406.9,1903.1,351.4,916.4,1107.3,593.2,484.7,1127.0,1487.3,297.5,9674.8
2017-03-17,1399.9,1923.6000000000001,352.70000000000005,906.8000000000001,1104.5,586.7,479.09999999999997,1130.0,1496.0,298.8,9678.099999999999
2017-03-20,1414.6000000000001,1930.1,354.3,900.3,1108.8,576.3000000000001,472.1,1140.1000000000001,1478.0,297.4,9671.999999999998
2017-03-21,1398.4,1921.3,350.4,873.9,1096.1,558.5,464.20000000000005,1134.8999999999999,1466.1000000000001,293.9,9557.699999999999
2017-03-22,1414.1999999999998,1922.2,353.7,875.3,1097.7,553.3,461.59999999999997,1130.0,1473.6000000000001,295.3,9576.9
2017-03-23,1409.1999999999998,1921.3999999999999,352.70000000000005,873.9,1095.3,552.5,462.8,1129.5,1479.9,296.2,9573.4
2017-03-24,1406.3999999999999,1915.1,351.59999999999997,872.9000000000001,1089.8,558.3,462.5,1117.9,1477.1000000000001,297.2,9548.800000000001
2017-03-27,1408.8,1904.3000000000002,353.9,872.4,1071.6,553.9,462.5,1123.8,1468.7,294.40000000000003,9514.300000000001
2017-03-28,1438.0,1909.9,356.0,886.0,1083.3,559.6,470.0,1128.0,1472.0,296.2,9599.0
